ColorCollectionID,ColorID,ColorName,ColorNumber1,ColorNumber2,ColorType,Counter
1157,111179,"3710-R30B",,,0,32244
1157,111180,"3734-R",,,0,32245
1157,111181,"3744-R80B",,,0,32246
1157,111182,"3805-R19B",,,0,32247
1157,111183,"3805-R77B",,,0,32248
1157,111184,"3806-R92B",,,0,32249
1157,111185,"3809-R51B",,,0,32250
1157,111186,"3820-Y68R",,,0,32251
1157,111187,"3826-Y54R",,,0,32252
1157,111188,"3848-G31Y",,,0,32253
1157,111189,"3900-N",,,0,32254
1157,111190,"3908-Y96R",,,0,32255
1157,111191,"3909-Y28R",,,0,32256
1157,111192,"3911-B73G",,,0,32257
1157,111193,"3948-R69B",,,0,32258
1157,251350,"4005-B30G",,,0,32259
1157,251381,"4005-G40Y",,,0,32260
1157,251395,"4005-G90Y",,,0,32261
1157,251296,"4005-R40B",,,0,32262
1157,251312,"4005-R70B",,,0,32263
1157,251261,"4005-Y10R",,,0,32264
1157,251280,"4005-Y40R",,,0,32265
1157,111194,"4008-Y25R",,,0,32266
1157,251337,"4010-B",,,0,32267
1157,249907,"4010-R80B",,,0,32268
1157,251255,"4010-Y",,,0,32269
1157,111195,"4011-R08B",,,0,32270
1157,111196,"4027-R21B",,,0,32271
1157,111197,"4028-R43B",,,0,32272
1157,111198,"4039-G71Y",,,0,32273
1157,251371,"4045-B80G",,,0,32274
1157,111199,"4050-R62B",,,0,32275
1157,251321,"4055-R80B",,,0,32276
1157,111200,"4105-B53G",,,0,32277
1157,111201,"4106-G15Y",,,0,32278
1157,111202,"4136-Y91R",,,0,32279
1157,111203,"4138-G97Y",,,0,32280
1157,111204,"4143-Y48R",,,0,32281
1157,111205,"4153-Y90R",,,0,32282
1157,111206,"4214-G80Y",,,0,32283
1157,111207,"4222-R55B",,,0,32284
1157,111208,"4237-B90G",,,0,32285
1157,111209,"4245-G21Y",,,0,32286
1157,111210,"4249-B41G",,,0,32287
1157,111211,"4324-G64Y",,,0,32288
1157,111212,"4336-Y68R",,,0,32289
1157,111213,"4339-R06B",,,0,32290
1157,111214,"4342-G35Y",,,0,32291
1157,111215,"4343-G95Y",,,0,32292
1157,111216,"4346-G13Y",,,0,32293
1157,111217,"4348-R92B",,,0,32294
1157,111218,"4350-R71B",,,0,32295
1157,111219,"4402-Y01R",,,0,32296
1157,111220,"4428-R91B",,,0,32297
